ID,Modul,Fitur,Skenario Uji,Langkah Pengujian,Hasil yang Diharapkan,Status,Keterangan
SAY-06,Sayembara,Voting Publik & Carousel Foto,Melihat mockup karya di galeri voting dan navigasi 2 foto,Masuk fase VOTING -> klik 'Lihat Detail & Foto' pada salah satu karya,Modal dialog terbuka menampilkan foto 1 dan bisa slide ke foto ke-2,DONE,
SAY-07,Sayembara,Kerahasiaan Skor Saat Voting Aktif,Mencegah bandwagon effect saat fase pemilihan suara,Lihat kartu karya di galeri voting publik,Skor dan persentase disembunyikan (Label: 'Status Voting: Suara Dirahasiakan'),DONE,
SAY-08,Sayembara,Voting 1 Akun 1 Suara,Pengecekan integritas pembatasan suara pemilih,Klik 'Beri Suara' pada desain A -> coba vote lagi di desain B,Tombol vote berubah menjadi 'Suara Anda Telah Tercatat' dan tidak bisa double vote,DONE,
SAY-09,Sayembara,Pengumuman Pemenang (Fase FINISHED),Tampilan saat kontes sayembara selesai,Ubah status contest ke FINISHED,Banner pemenang muncul perolehan total vote dan persentase terbuka ke publik,DONE,
ADM-01,Admin Panel,Dashboard Utama & Ringkasan,Melihat rekap pendapatan dan status pesanan terbaru,Buka /admin dengan akun pengurus,Menampilkan card total omzet jumlah pesanan pending dan tabel pesanan mobile-friendly,DONE,
ADM-02,Admin Panel,Manajemen Produk Pre-Order,Tambah edit nonaktifkan produk dan varian,Buka /admin/produk -> tambah produk baru -> upload foto -> simpan,Produk baru muncul di katalog etalase publik,DONE,
ADM-03,Admin Panel,Manajemen Periode Pre-Order,Mengatur tanggal buka/tutup batch PO dan target kuota,Buka /admin/pre-order -> edit tanggal batch -> simpan,Hitung mundur countdown di beranda storefront otomatis menyesuaikan tanggal baru,DONE,
ADM-04,Admin Panel,Kurasi Sayembara & Preview 2 Mockup,Admin memeriksa karya mahasiswa sebelum disetujui/ditolak,Buka /admin/sayembara/[id] -> klik 'Pratinjau Desain',Modal besar terbuka admin bisa memeriksa foto 1 dan mockup ke-2,DONE,
ADM-05,Admin Panel,Tolak Karya dengan Catatan/Alasan,Admin menolak karya yang tidak sesuai ketentuan,Klik tombol 'Tolak' -> masukkan alasan penolakan di modal dialog -> submit,Status karya menjadi REJECTED dan alasan penolakan tersimpan di database,DONE,
ADM-06,Admin Panel,Setujui Karya untuk Masuk Voting,Admin menyetujui karya yang lolos seleksi,Klik tombol 'Setujui' pada karya yang valid,Status karya berubah menjadi APPROVED dan siap tampil di galeri voting publik,DONE,
ADM-07,Admin Panel,Monitoring Suara Real-Time Admin,Admin memantau perolehan suara voting saat publik dirahasiakan,Buka /admin/sayembara/[id] saat fase VOTING berlangsung,Admin tetap dapat melihat angka suara riil dan progress bar perolehan suara,DONE,
ADM-08,Admin Panel,Cetak Rekap & Label Pesanan,Ekspor data pesanan untuk produksi dan pengiriman,Buka /admin/rekap -> filter periode -> klik Cetak/Ekspor,Data terformat rapi siap diprint atau diunduh sebagai laporan BEM,DONE,
ADM-09,Admin Panel,Manajemen Pengguna & Role,Mengatur peran pengguna (Pengurus/Customer),Buka /admin/pengguna -> ubah role akun,Hak akses user terupdate sesuai peran yang diberikan,DONE,
ADM-10,Admin Panel,Pengaturan Toko & Banner Beranda,Mengubah banner promosi dan pengumuman berjalan,Buka /admin/beranda -> perbarui teks pengumuman -> simpan,Teks marquee dan banner di halaman beranda etalase langsung terupdate,DONE,
PERF-01,Non-Fungsional,Uji Responsivitas Mobile,Tampilan seluruh halaman di layar smartphone (360px - 412px),Buka Beranda Sayembara Checkout dan Admin di mode mobile,Semua tombol mudah disentuh tidak ada horizontal scrollbar liar teks terbaca rapi,DONE,
PERF-02,Non-Fungsional,Ketahanan Upload Gambar,Upload gambar berukuran besar (> 3MB),Unggah gambar mockup sayembara berukuran 4 MB di form,Sharp otomatis mengompres ke format WebP ringan (< 200KB) tanpa error memory OOM,DONE,
PERF-03,Non-Fungsional,Penanganan Error 404 & 500,Tampilan error halaman tidak ditemukan,Buka URL acak http://.../halaman-tidak-ada,Tampil halaman 404 khas Merch PENS dengan tombol kembali ke beranda,DONE,
